lga_code,lga_name,erp_2025,lga_key,sites,plugs,region,plugs_per_10k
10050,Albury,59538.0,albury,15.0,53.0,Rest of NSW,8.901877792334307
10180,Armidale,29652.0,armidale,8.0,22.0,Rest of NSW,7.419398354242547
10250,Ballina,48603.0,ballina,13.0,38.0,Rest of NSW,7.818447420941094
10300,Balranald,2244.0,balranald,3.0,7.0,Rest of NSW,31.194295900178254
10470,Bathurst,45359.0,bathurst,17.0,45.0,Rest of NSW,9.92085363433938
10500,Bayside (NSW),187770.0,bayside,20.0,42.0,Greater Sydney,2.2367790381850137
10550,Bega Valley,36921.0,bega valley,27.0,66.0,Rest of NSW,17.8760055253108
10600,Bellingen,13348.0,bellingen,5.0,10.0,Rest of NSW,7.491759065028469
10650,Berrigan,8773.0,berrigan,3.0,6.0,Rest of NSW,6.839165621794142
10750,Blacktown,449385.0,blacktown,33.0,116.0,Greater Sydney,2.581305562045907
10800,Bland,5455.0,bland,1.0,2.0,Rest of NSW,3.6663611365719526
10850,Blayney,7831.0,blayney,2.0,2.0,Rest of NSW,2.5539522410930915
10900,Blue Mountains,79236.0,blue mountains,29.0,74.0,Greater Sydney,9.339189257408249
10950,Bogan,2373.0,bogan,1.0,4.0,Rest of NSW,16.856300042140752
11150,Bourke,2310.0,bourke,2.0,6.0,Rest of NSW,25.974025974025974
11200,Brewarrina,1396.0,brewarrina,2.0,5.0,Rest of NSW,35.816618911174785
11250,Broken Hill,17515.0,broken hill,2.0,6.0,Rest of NSW,3.4256351698544103
11300,Burwood,43927.0,burwood,11.0,21.0,Greater Sydney,4.780658820315524
11350,Byron,38784.0,byron,24.0,61.0,Rest of NSW,15.728135313531352
11400,Cabonne,13915.0,cabonne,17.0,35.0,Rest of NSW,25.152712899748476
11450,Camden,146483.0,camden,12.0,62.0,Greater Sydney,4.232573063085819
11500,Campbelltown (NSW),191285.0,campbelltown,7.0,34.0,Greater Sydney,1.7774524923543404
11520,Canada Bay,93006.0,canada bay,7.0,22.0,Greater Sydney,2.3654387888953403
11570,Canterbury-Bankstown,389687.0,canterbury bankstown,18.0,57.0,Greater Sydney,1.4627123819886216
11600,Carrathool,2803.0,carrathool,3.0,8.0,Rest of NSW,28.540849090260433
11650,Central Coast (NSW),357816.0,central coast,38.0,114.0,Greater Sydney,3.185995036555101
11700,Central Darling,1773.0,central darling,1.0,4.0,Rest of NSW,22.560631697687537
11720,Cessnock,71443.0,cessnock,42.0,97.0,Rest of NSW,13.577257394006411
11730,Clarence Valley,56874.0,clarence valley,12.0,37.0,Rest of NSW,6.505608889826634
11750,Cobar,4019.0,cobar,1.0,2.0,Rest of NSW,4.976362279173924
11800,Coffs Harbour,82109.0,coffs harbour,13.0,55.0,Rest of NSW,6.698413085045488
12000,Coolamon,4742.0,coolamon,3.0,6.0,Rest of NSW,12.652889076339097
12150,Coonamble,3889.0,coonamble,1.0,4.0,Rest of NSW,10.285420416559527
12160,Cootamundra-Gundagai,11429.0,cootamundra gundagai,10.0,44.0,Rest of NSW,38.498556304138596
12350,Cowra,12721.0,cowra,3.0,6.0,Rest of NSW,4.716610329376621
12380,Cumberland,256906.0,cumberland,6.0,18.0,Greater Sydney,0.7006453722373163
12390,Dubbo,57384.0,dubbo,14.0,51.0,Rest of NSW,8.887494772061899
12700,Dungog,10102.0,dungog,4.0,10.0,Rest of NSW,9.899029895070283
12730,Edward River,8501.0,edward river,7.0,30.0,Rest of NSW,35.28996588636631
12750,Eurobodalla,41309.0,eurobodalla,24.0,69.0,Rest of NSW,16.703381829625503
12850,Fairfield,213677.0,fairfield,7.0,20.0,Greater Sydney,0.9359921751054161
12870,Federation,13247.0,federation,9.0,30.0,Rest of NSW,22.6466369744093
12900,Forbes,9301.0,forbes,2.0,4.0,Rest of NSW,4.300612837329319
12930,Georges River,163919.0,georges river,15.0,36.0,Greater Sydney,2.196206663046993
12950,Gilgandra,4304.0,gilgandra,1.0,4.0,Rest of NSW,9.293680297397769
13010,Glen Innes Severn,9069.0,glen innes severn,4.0,8.0,Rest of NSW,8.821259234755761
13310,Goulburn Mulwaree,33746.0,goulburn mulwaree,11.0,51.0,Rest of NSW,15.112902269898655
13340,Greater Hume,11742.0,greater hume,6.0,21.0,Rest of NSW,17.884517118037813
13450,Griffith,27458.0,griffith,8.0,19.0,Rest of NSW,6.919659115740403
13550,Gunnedah,13502.0,gunnedah,5.0,13.0,Rest of NSW,9.628203229151236
13660,Gwydir,4968.0,gwydir,5.0,8.0,Rest of NSW,16.10305958132045
